photo_filename,class,xmin,ymin,xmax,ymax,width,height,conf
nashville_888009772707149514_20150101.jpg,Emirates,577.0,194.0,623.0,222.0,640.0,640.0,0.867509
nashville_888389807971970513_20150101.jpg,Puma,516.0,255.0,564.0,287.0,640.0,640.0,0.865574
nashville_888136975022977678_20150101.jpg,The North Face,302.0,351.0,322.0,372.0,640.0,640.0,0.710243
nashville_888443592345652363_20150101.jpg,Emirates,83.0,158.0,124.0,185.0,640.0,640.0,0.882558
nashville_888488636282287710_20150101.jpg,Puma,357.0,196.0,399.0,228.0,640.0,640.0,0.801363
nashville_888571407048784550_20150101.jpg,NFL,452.0,263.0,506.0,292.0,640.0,640.0,0.775187
nashville_888571407048784550_20150101.jpg,NFL,587.0,342.0,640.0,398.0,640.0,640.0,0.852084
nashville_889298793926314073_20150102.jpg,Under Armour,24.0,480.0,49.0,507.0,640.0,640.0,0.65984
nashville_889344277034797133_20150102.jpg,Emirates,403.0,214.0,424.0,230.0,640.0,640.0,0.779389
nashville_890787933274309697_20150104.jpg,Nike,383.0,413.0,437.0,450.0,640.0,640.0,0.783262
nashville_890787933274309697_20150104.jpg,Nike,198.0,420.0,257.0,456.0,640.0,640.0,0.824043
nashville_890813997141934271_20150104.jpg,Puma,461.0,120.0,611.0,208.0,640.0,640.0,0.910434
nashville_890674199076658478_20150104.jpg,Mercedes-Benz,277.0,355.0,314.0,383.0,640.0,640.0,0.884583
nashville_892803531213979060_20150107.jpg,NFL,1.0,407.0,45.0,441.0,640.0,640.0,0.703377
nashville_892990707538007524_20150107.jpg,NFL,49.0,523.0,90.0,560.0,640.0,640.0,0.819723
nashville_893233059946148680_20150108.jpg,Coca-Cola,60.0,118.0,107.0,165.0,640.0,640.0,0.925908
nashville_893412297543319450_20150108.jpg,NFL,385.0,510.0,438.0,553.0,640.0,640.0,0.739914
nashville_893412297543319450_20150108.jpg,NFL,158.0,510.0,209.0,553.0,640.0,640.0,0.743205
nashville_893412297543319450_20150108.jpg,NFL,499.0,510.0,553.0,553.0,640.0,640.0,0.777335
nashville_893777924753856189_20150109.jpg,Nike,548.0,328.0,640.0,379.0,640.0,640.0,0.727312
nashville_894118304940776046_20150109.jpg,Toyota,509.0,32.0,606.0,71.0,640.0,640.0,0.927619
nashville_894870599036740254_20150110.jpg,Adidas,322.0,495.0,342.0,512.0,640.0,640.0,0.639147
nashville_894962297880188555_20150110.jpg,The North Face,304.0,439.0,352.0,480.0,640.0,640.0,0.864065
nashville_895890476361078982_20150111.jpg,Emirates,520.0,494.0,564.0,544.0,640.0,640.0,0.885647
nashville_895903392529564466_20150111.jpg,Puma,566.0,179.0,613.0,208.0,640.0,640.0,0.854075
nashville_895777365998844106_20150111.jpg,NFL,96.0,63.0,528.0,601.0,640.0,640.0,0.779961
nashville_897476877150672042_20150114.jpg,Puma,423.0,44.0,565.0,104.0,640.0,640.0,0.834735
nashville_898822438847802545_20150116.jpg,Toyota,228.0,383.0,391.0,456.0,640.0,640.0,0.686816
nashville_898164067809230891_20150115.jpg,Starbucks,278.0,150.0,330.0,201.0,640.0,640.0,0.855439
nashville_898164067809230891_20150115.jpg,Starbucks,269.0,42.0,338.0,109.0,640.0,640.0,0.89698
nashville_899339622793841140_20150116.jpg,Toyota,466.0,610.0,509.0,638.0,640.0,640.0,0.792962
nashville_899437986564643606_20150116.jpg,Toyota,0.0,99.0,34.0,132.0,640.0,640.0,0.656809
nashville_900332732194684216_20150118.jpg,Toyota,16.0,382.0,63.0,401.0,640.0,640.0,0.631453
nashville_900871530556127464_20150118.jpg,Starbucks,182.0,246.0,354.0,374.0,640.0,640.0,0.745141
nashville_900910742080867826_20150118.jpg,Toyota,496.0,325.0,640.0,403.0,640.0,640.0,0.649788
nashville_901534443944507717_20150119.jpg,NFL,57.0,574.0,86.0,606.0,640.0,640.0,0.802828
nashville_901626220314472643_20150119.jpg,NFL,37.0,526.0,90.0,568.0,640.0,640.0,0.788216
nashville_901689265512924485_20150119.jpg,Adidas,464.0,214.0,494.0,234.0,640.0,640.0,0.640234
nashville_902441415261946530_20150121.jpg,Starbucks,347.0,224.0,388.0,287.0,640.0,640.0,0.79652
nashville_902482000307508071_20150121.jpg,Adidas,367.0,424.0,433.0,471.0,640.0,640.0,0.873351
nashville_902482000307508071_20150121.jpg,Adidas,528.0,426.0,590.0,470.0,640.0,640.0,0.879816
